City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lékoni,90,GA,1587421367,72,-1.58,14.26,75.15,5.12
Malindi,86,KE,1587421367,82,-3.22,40.12,80.11,12.82
Jamestown,1,US,1587421367,33,42.1,-79.24,48.99,11.41
Kota Belud,20,MY,1587421367,94,6.35,116.43,77.0,4.7
Pevek,99,RU,1587421367,93,69.7,170.31,5.18,5.91
Moosomin,15,CA,1587421367,52,50.13,-101.67,38.52,20.65
Milos,100,GR,1587421367,82,36.75,24.43,60.8,2.24
Kalianget,73,ID,1587421367,77,-7.05,113.93,81.77,8.63
Nosy Varika,80,MG,1587421367,83,-20.58,48.53,72.19,3.36
Marigot,20,MF,1587421368,65,18.07,-63.08,82.4,13.87
Derzhavīnsk,100,KZ,1587421368,42,51.1,66.32,61.03,6.64
Kruisfontein,98,ZA,1587421368,74,-34.0,24.73,62.53,15.01
Vuktyl,37,RU,1587421368,97,63.86,57.31,29.62,4.83
The Valley,20,AI,1587421368,65,18.22,-63.06,82.4,13.87
‘Ewa Beach,1,US,1587421255,65,21.32,-158.01,84.2,9.17
Linköping,0,SE,1587421368,70,58.41,15.62,44.6,1.66
Bengkulu,59,ID,1587421368,80,-3.8,102.27,78.21,4.88
San Andrés,20,CO,1587421368,66,12.58,-81.7,86.0,9.17
Tuktoyaktuk,90,CA,1587421368,78,69.45,-133.04,8.6,11.41
Constitución,74,CL,1587421368,46,-35.33,-72.42,66.63,15.82
Eyl,29,SO,1587421368,78,7.98,49.82,83.79,13.44
Ulundi,0,ZA,1587421369,67,-28.34,31.42,60.66,4.07
Ilulissat,42,GL,1587421369,63,69.22,-51.1,30.2,5.82
Kota Kinabalu,20,MY,1587421369,94,5.97,116.07,77.0,4.7
Nouadhibou,0,MR,1587421369,60,20.93,-17.03,69.8,12.75
Barrow,90,US,1587421369,91,71.29,-156.79,3.2,9.17
Touros,40,BR,1587421369,88,-5.2,-35.46,78.8,6.93
Pisco,0,PE,1587421369,73,-13.7,-76.22,71.6,19.46
Hong Kong,20,HK,1587421351,88,22.29,114.16,77.0,5.82
Bilma,0,NE,1587421379,12,18.69,12.92,85.93,4.59
Srednekolymsk,99,RU,1587421379,93,67.45,153.68,11.77,11.03
Trairi,82,BR,1587421379,83,-3.28,-39.27,80.53,8.28
Luz,20,BR,1587421380,68,-19.8,-45.69,68.94,3.78
Yellowknife,90,CA,1587421380,57,62.46,-114.35,23.0,9.17
Luau,16,AO,1587421380,59,-10.71,22.22,66.07,3.98
Saint Paul Harbor,90,US,1587421380,87,57.79,-152.41,44.6,11.41
Vardø,40,NO,1587421380,80,70.37,31.11,35.6,14.99
Norden,0,DE,1587421380,75,53.6,7.2,51.01,1.99
Mitsamiouli,10,KM,1587421380,69,-11.38,43.28,83.08,2.48
São Domingos do Maranhão,45,BR,1587421380,85,-5.58,-44.39,77.7,1.19
Mossamedes,23,AO,1587421380,71,-15.2,12.15,75.4,4.29
Coquimbo,75,CL,1587421380,87,-29.95,-71.34,60.8,6.93
Sur,13,OM,1587421380,55,22.57,59.53,83.64,2.93
Nha Trang,20,VN,1587421209,74,12.25,109.18,78.8,5.82
Port Hedland,77,AU,1587421381,94,-20.32,118.57,77.0,4.7
Kenora,75,CA,1587421381,62,49.82,-94.43,32.0,13.87
Dali,0,CN,1587421381,40,25.7,100.18,49.71,3.78
Tiksi,95,RU,1587421381,94,71.69,128.87,19.53,3.87
Nanortalik,76,GL,1587421381,88,60.14,-45.24,31.87,6.91
Necochea,100,AR,1587421381,72,-38.55,-58.74,60.01,11.99
Kitakata,75,JP,1587421381,93,37.65,139.87,51.8,3.36
Saskylakh,70,RU,1587421381,98,71.92,114.08,24.67,11.45
Lavrentiya,100,RU,1587421381,91,65.58,-171.0,17.89,6.67
Fort Morgan,40,US,1587421207,14,40.25,-103.8,69.8,16.11
Longyearbyen,20,SJ,1587421382,57,78.22,15.64,23.0,29.97
Ranfurly,77,NZ,1587421382,89,-45.13,170.1,46.99,3.24
Ancud,52,CL,1587421382,71,-41.87,-73.82,50.0,5.82
Vila Franca do Campo,20,PT,1587421382,67,37.72,-25.43,59.0,5.82
Itoman,75,JP,1587421382,82,26.12,127.67,68.0,6.93
Port Elizabeth,20,ZA,1587421382,82,-33.92,25.57,64.4,14.99
Riwaka,35,NZ,1587421382,84,-41.08,173.0,51.01,1.99
Bayevo,0,RU,1587421382,59,53.28,80.77,54.07,5.32
Kahului,40,US,1587421382,48,20.89,-156.47,84.2,12.75
Inhambane,2,MZ,1587421383,84,-23.86,35.38,73.72,7.52
College,90,US,1587421383,86,64.86,-147.8,43.0,3.36
Beira,20,MZ,1587421383,83,-19.84,34.84,73.4,5.82
Dikson,100,RU,1587421383,97,73.51,80.55,31.08,22.64
Iberia,40,US,1587421393,54,29.95,-91.75,80.6,3.36
Rocha,0,UY,1587421393,76,-34.48,-54.33,66.13,2.21
Seaca,58,RO,1587421393,75,43.75,25.07,46.0,8.37
Chicacao,75,GT,1587421393,74,14.53,-91.32,82.4,9.17
Lata,33,PT,1587421393,90,40.16,-8.33,53.01,3.58
Sioux Lookout,75,CA,1587421393,46,50.1,-91.92,30.2,20.8
Fortuna,89,US,1587421180,82,40.6,-124.16,55.99,4.0
Bambous Virieux,40,MU,1587421393,83,-20.34,57.76,77.0,14.99
Alofi,40,NU,1587421394,69,-19.06,-169.92,82.4,11.41
Saint-Philippe,75,RE,1587421394,73,-21.36,55.77,77.0,17.22
Beringovskiy,85,RU,1587421394,94,63.05,179.32,12.72,13.98
Goderich,63,CA,1587421262,48,43.75,-81.72,48.99,21.54
Leningradskiy,2,RU,1587421394,90,69.38,178.42,9.36,6.6
Tura,100,IN,1587421394,78,25.52,90.22,69.78,3.53
Aripuanã,76,BR,1587421394,84,-9.17,-60.63,77.63,1.81
Grindavik,100,IS,1587421394,90,63.84,-22.43,46.87,27.74
Yichun,100,CN,1587421394,94,47.7,128.9,25.7,2.91
Verkhoyansk,100,RU,1587421394,90,67.54,133.38,15.33,3.18
Banda Aceh,61,ID,1587421394,82,5.56,95.32,80.71,4.97
Agirish,100,RU,1587421394,77,61.92,63.02,35.87,1.95
Trincomalee,51,LK,1587421192,81,8.57,81.23,81.61,6.8
Warren,1,US,1587421202,29,39.43,-84.17,64.99,11.41
Paso de los Toros,0,UY,1587421395,44,-32.82,-56.52,78.8,2.48
Hithadhoo,62,MV,1587421395,69,-0.6,73.08,84.67,8.08
Puro,100,PH,1587421395,80,12.48,123.38,81.81,9.51
Golden,40,US,1587421395,25,39.76,-105.22,66.99,9.17
Saint-Pierre,75,RE,1587421395,73,-21.34,55.48,77.0,17.22
Ribeira Grande,75,PT,1587421395,72,38.52,-28.7,62.6,18.34
Klaksvík,0,FO,1587421395,86,62.23,-6.59,41.0,3.36
Acapulco de Juárez,5,MX,1587421395,74,16.86,-99.89,82.4,11.41
Vaini,75,TO,1587421395,78,-21.2,-175.2,82.4,10.29
Qaanaaq,52,GL,1587421395,85,77.48,-69.36,10.53,6.64
Gohpur,99,IN,1587421395,69,26.88,93.63,70.32,2.62
Bandarbeyla,99,SO,1587421396,78,9.49,50.81,82.35,12.41
Pāsighāt,90,IN,1587421396,73,28.07,95.33,65.8,3.27
Yangi Marg`ilon,1,UZ,1587421396,44,40.43,71.72,60.8,6.93
Narsaq,25,GL,1587421396,40,60.92,-46.05,33.8,5.82
Bethel,1,US,1587421159,30,41.37,-73.41,55.0,4.41
Tezu,87,IN,1587421396,63,27.92,96.17,66.16,3.69
Rehoboth,53,NA,1587421396,39,-23.32,17.08,66.2,3.62
Cap Malheureux,23,MU,1587421396,86,-19.98,57.61,73.0,5.01
Saint-Joseph,75,RE,1587421396,73,-21.37,55.62,77.0,17.22
Praia,20,CV,1587421396,73,14.92,-23.51,71.6,18.34
Pochutla,75,MX,1587421397,58,15.74,-96.47,89.01,14.99
Codrington,87,AU,1587421397,81,-38.27,141.97,52.88,14.03
Morozovsk,0,RU,1587421397,79,48.35,41.83,38.93,9.93
Russell,1,US,1587421407,49,32.35,-85.2,75.2,8.05
São Domingos,84,BR,1587421407,73,-13.4,-46.32,73.24,2.08
Chokurdakh,100,RU,1587421407,98,70.63,147.92,19.6,6.44
Longido,96,TZ,1587421407,58,-2.73,36.68,65.82,2.08
Tautira,47,PF,1587421407,66,-17.73,-149.15,87.8,8.05
Prieska,78,ZA,1587421407,23,-29.66,22.75,77.88,6.73
Lafiagi,79,NG,1587421407,59,8.87,5.42,84.74,4.43
Faya,20,SA,1587421407,67,18.39,42.45,60.8,5.82
Cap-Chat,83,CA,1587421408,90,49.1,-66.68,31.24,13.71
Nyurba,95,RU,1587421408,96,63.28,118.33,22.5,3.36
Tolaga Bay,98,NZ,1587421408,67,-38.37,178.3,62.55,1.16
São Félix do Xingu,99,BR,1587421408,89,-6.64,-51.99,77.18,1.16
Fort Nelson,75,CA,1587421408,41,58.81,-122.7,66.2,8.37
Oodweyne,100,SO,1587421408,51,9.41,45.06,75.4,5.26
Seoul,1,KR,1587421338,66,37.57,126.98,48.2,6.49
Hambantota,69,LK,1587421408,80,6.12,81.12,81.82,10.65
Lorengau,23,PG,1587421408,74,-2.02,147.27,82.67,3.0
Lázaro Cárdenas,0,MX,1587421408,62,17.96,-102.2,83.03,9.6
Sørland,95,NO,1587421408,89,67.67,12.69,41.05,15.32
Englewood,75,US,1587421278,23,39.65,-104.99,66.99,9.17
Norman Wells,75,CA,1587421409,96,65.28,-126.83,32.0,5.82
Skjervøy,100,NO,1587421409,95,70.03,20.97,36.63,19.98
Hūn,0,LY,1587421409,16,29.13,15.95,79.74,10.71
Kayasula,94,RU,1587421263,71,44.33,45.0,53.15,14.23
Andros Town,75,BS,1587421409,55,24.7,-77.77,88.0,10.29
Brae,0,GB,1587421409,93,60.4,-1.35,42.8,11.41
St. Marys,1,US,1587421146,65,30.73,-81.55,78.8,12.75
Roald,0,NO,1587421409,87,62.58,6.13,43.0,4.7
Navahrudak,34,BY,1587421409,78,53.6,25.83,34.36,6.22
Esperance,9,AU,1587421409,87,-33.87,121.9,55.4,9.17
Batagay-Alyta,100,RU,1587421409,88,67.8,130.41,21.27,0.43
Castro,2,BR,1587421409,54,-24.79,-50.01,61.68,2.13
Vila Velha,94,BR,1587421378,73,-20.33,-40.29,75.2,8.05
Rawson,25,AR,1587421410,35,-43.3,-65.1,59.13,8.52
Souillac,40,MU,1587421410,83,-20.52,57.52,77.0,14.99
Hofn,75,IS,1587421410,84,64.25,-15.21,45.3,3.6
Keti Bandar,0,PK,1587421410,83,24.14,67.45,78.82,10.51
Páez,68,CO,1587421410,45,5.1,-73.05,74.89,2.86
Antalaha,73,MG,1587421410,83,-14.9,50.28,75.04,10.4
Alta Floresta,98,BR,1587421410,94,-9.88,-56.09,77.0,1.12
Barranca,23,PE,1587421410,64,-10.75,-77.77,75.25,10.22
Clyde River,75,CA,1587421410,77,70.47,-68.59,1.4,8.05
Naze,75,JP,1587421410,72,28.37,129.48,68.0,5.82
Anadyr,18,RU,1587421410,78,64.75,177.48,15.8,4.47
Meulaboh,51,ID,1587421410,85,4.14,96.13,79.34,5.21
Heishan,0,CN,1587421750,63,41.69,122.11,34.27,14.92
Champerico,75,GT,1587421750,74,14.3,-91.92,82.4,9.17
Padang,42,ID,1587421750,74,-0.95,100.35,78.37,4.47
Costa Rica,0,BR,1587421750,61,-23.42,-54.65,73.94,4.52
Rome,1,US,1587421523,36,43.21,-75.46,50.0,10.29
Were Īlu,97,ET,1587421750,35,10.6,39.43,58.95,1.72
Florianópolis,0,BR,1587421750,77,-27.61,-48.5,68.0,2.24
Ban Dung,29,TH,1587421750,66,17.7,103.26,86.0,0.27
Kununurra,46,AU,1587421751,94,-15.77,128.73,73.4,2.24
Mae Sot,81,TH,1587421751,71,16.72,98.57,72.32,1.32
Hay River,90,CA,1587421751,59,60.82,-115.8,35.6,12.75
Presidencia Roque Sáenz Peña,0,AR,1587421751,41,-26.79,-60.44,82.36,3.85
Los Llanos de Aridane,75,ES,1587421751,72,28.66,-17.92,68.0,20.8
Urumita,97,CO,1587421751,59,10.56,-73.01,83.57,2.64
Tutóia,35,BR,1587421751,81,-2.76,-42.27,80.89,6.38
Yarmouth,75,US,1587421568,60,41.71,-70.23,44.01,6.93
Kurchum,0,KZ,1587421751,43,48.57,83.65,48.45,4.38
Sumbawanga,75,TZ,1587421751,88,-7.97,31.62,64.4,4.7
Seka,5,TH,1587421752,51,17.93,103.96,83.32,2.82
Kozhevnikovo,3,RU,1587421423,44,56.26,83.97,46.0,3.18
Half Moon Bay,20,US,1587421267,71,37.46,-122.43,64.99,11.41
Saronno,75,IT,1587421423,93,45.63,9.03,53.6,5.82
Nichinan,75,JP,1587421423,67,31.6,131.37,60.8,17.22
Vestmanna,0,FO,1587421423,86,62.16,-7.17,41.0,3.36
Kaiyuan,0,CN,1587421423,44,23.7,103.3,66.02,3.33
Hohhot,2,CN,1587421423,30,40.81,111.65,26.6,13.42
Púchov,0,SK,1587421423,45,49.12,18.33,44.6,4.7
Pangnirtung,90,CA,1587421423,92,66.15,-65.71,15.8,9.17
Atbasar,100,KZ,1587421423,45,51.8,68.33,59.67,6.93
Puerto Escondido,5,MX,1587421424,74,15.85,-97.07,82.4,11.41
Nioro,0,GM,1587421424,31,13.35,-15.75,84.15,9.82
George Town,40,MY,1587421424,94,5.41,100.34,80.6,3.36
Olafsvik,100,IS,1587421424,89,64.89,-23.71,45.48,17.67
Bouna,77,CI,1587421424,59,9.27,-3.0,81.46,5.53
Santiago del Estero,0,AR,1587421424,34,-27.8,-64.26,85.53,6.13
Buala,82,SB,1587421424,76,-8.14,159.59,82.72,5.19
Tucupita,95,VE,1587421253,55,9.06,-62.05,86.0,8.14
Ponta do Sol,20,PT,1587421424,51,32.67,-17.1,62.6,4.7
Kathmandu,75,NP,1587421196,76,27.72,85.32,57.2,2.24
Dingli,20,MT,1587421424,100,35.86,14.38,61.0,6.93
Salitral,49,PE,1587421425,40,-4.86,-80.68,90.37,15.08
Andenes,100,NO,1587421425,93,69.31,16.12,42.8,23.04
Mathathane,0,BW,1587421435,38,-22.27,28.75,64.35,6.78
Mayo,1,US,1587421435,71,38.89,-76.51,63.0,9.17
Lensk,28,RU,1587421435,94,60.73,114.93,20.12,3.18
Murgab,0,TM,1587421435,63,37.5,61.97,62.6,6.93
Kulhudhuffushi,95,MV,1587421435,69,6.62,73.07,85.6,5.48
Rio Grande,0,BR,1587421383,81,-32.03,-52.1,69.01,8.66
Albacete,95,ES,1587421435,81,38.83,-2.0,46.4,3.36
Sirte,0,LY,1587421435,53,31.21,16.59,69.69,3.31
Las Guáranas,20,DO,1587421436,58,19.19,-70.21,87.8,16.11
Kang,0,BW,1587421436,26,-23.68,22.79,68.59,4.56
Port Hardy,75,CA,1587421436,81,50.7,-127.42,51.8,10.29
Ulladulla,20,AU,1587421436,67,-35.35,150.47,60.8,6.93
Newport,0,GB,1587421206,70,51.59,-3.0,48.99,1.99
Dakar,0,SN,1587421436,61,14.69,-17.44,78.8,11.41
Synya,97,RU,1587421146,92,65.37,58.04,32.88,7.34
Nedryhayliv,8,UA,1587421436,72,50.83,33.88,38.44,9.04
Poconé,48,BR,1587421436,66,-16.26,-56.62,84.45,1.19
Ust-Tsilma,26,RU,1587421436,97,65.44,52.15,29.8,5.77
Zarand,99,IR,1587421437,30,30.81,56.56,64.56,4.81
Laureles,1,US,1587421437,69,26.11,-97.49,91.4,14.99
Thinadhoo,75,MV,1587421437,75,0.53,72.93,84.49,9.04
Kaitangata,76,NZ,1587421437,72,-46.28,169.85,50.0,5.99
Sibolga,2,ID,1587421437,76,1.74,98.78,76.95,3.76
Spring Valley,75,US,1587421437,22,36.11,-115.25,79.0,4.7
Kloulklubed,90,PW,1587421437,94,7.04,134.26,77.0,4.7
Mombetsu,89,JP,1587421437,88,44.35,143.35,42.04,12.26
Oktyabr'skiy,100,RU,1587421437,74,54.48,53.47,43.7,11.54
Cidreira,0,BR,1587421437,81,-30.18,-50.21,69.4,10.07
Kormilovka,40,RU,1587421437,41,55.0,74.1,57.2,11.18
Ocampo,0,MX,1587421437,8,21.65,-101.5,82.62,10.58
Kumbakonam,34,IN,1587421437,85,10.97,79.38,77.81,3.38
Zyryanka,98,RU,1587421438,88,65.75,150.85,15.17,4.03
Junction City,1,US,1587421214,24,39.03,-96.83,73.4,18.34
Lilongwe,79,MW,1587421438,66,-13.97,33.79,60.6,3.69
Bushehr,100,IR,1587421438,61,28.97,50.84,75.22,0.87
Ngaoundéré,97,CM,1587421438,57,7.32,13.58,70.81,3.29
Bubaque,0,GW,1587421438,72,11.28,-15.83,78.17,13.78
São Filipe,2,CV,1587421175,76,14.9,-24.5,72.66,14.7
Makakilo City,1,US,1587421438,65,21.35,-158.09,80.6,9.17
Ekibastuz,97,KZ,1587421438,37,51.67,75.37,59.41,9.71
Pavlodar,47,KZ,1587421438,53,52.3,76.95,50.0,2.24
Dukat,100,RU,1587421438,85,62.55,155.55,4.46,4.12
Lüderitz,0,NA,1587421438,77,-26.65,15.16,62.6,9.17
Namtsy,10,RU,1587421777,47,62.72,129.67,15.8,2.24
Mount Gambier,90,AU,1587421777,87,-37.83,140.77,51.8,10.29
Vila,100,PT,1587421728,94,42.03,-8.16,48.0,1.07
Evensk,93,RU,1587421777,88,61.95,159.23,16.41,6.04
Najrān,75,SA,1587421777,100,17.49,44.13,62.6,11.41
Isabela,75,PH,1587421777,94,6.71,121.97,78.8,1.12
Oka,20,CA,1587421777,30,45.46,-74.09,43.0,5.82
Shimoda,79,JP,1587421777,94,34.67,138.95,57.99,20.87
Erzin,51,TR,1587421777,74,36.96,36.2,66.99,0.22
Singaparna,98,ID,1587421777,81,-7.35,108.11,74.17,0.2
Malbork,0,PL,1587421778,100,54.04,19.03,37.99,5.75
Turukhansk,100,RU,1587421778,97,65.82,87.98,33.93,6.64
Sai Buri,35,TH,1587421778,83,6.7,101.62,80.31,6.78
Santa Cruz de la Sierra,20,BO,1587421778,51,-17.8,-63.17,86.0,6.93
Tuatapere,98,NZ,1587421778,79,-46.13,167.68,49.1,4.38
Talnakh,90,RU,1587421778,92,69.49,88.4,32.0,20.13
Mayumba,97,GA,1587421778,85,-3.43,10.66,78.3,14.88
Airai,71,TL,1587421778,71,-8.93,125.41,60.89,3.0
Skibotn,75,NO,1587421778,93,69.39,20.27,37.4,20.8
Waipawa,80,NZ,1587421753,63,-41.41,175.52,60.8,8.05
Delta,32,NG,1587421778,92,5.5,6.0,77.54,4.74
Bitung,40,ID,1587421779,100,1.45,125.18,75.2,1.99
Iracoubo,100,GF,1587421779,85,5.48,-53.2,79.38,7.34
Avera,40,US,1587421779,56,33.19,-82.53,73.4,5.82
Taoudenni,0,ML,1587421451,14,22.68,-3.98,84.31,8.34
Kavieng,73,PG,1587421451,71,-2.57,150.8,84.24,0.54
Itaqui,0,BR,1587421451,44,-29.13,-56.55,77.32,2.55
Virginia Beach,75,US,1587421233,81,36.85,-75.98,57.2,14.99
Alice Springs,85,AU,1587421451,43,-23.7,133.88,71.6,14.99
Upernavik,99,GL,1587421451,90,72.79,-56.15,30.45,7.36
Yumen,100,CN,1587421451,24,40.28,97.2,42.94,7.74
Matara,87,LK,1587421451,89,5.95,80.54,77.9,7.49
Cherskiy,100,RU,1587421451,95,68.75,161.3,9.84,7.63
Kazachinskoye,55,RU,1587421451,81,57.7,93.28,32.99,5.86
Tamiahua,48,MX,1587421451,74,21.27,-97.45,85.3,10.87
Kinshasa,40,CD,1587421452,74,-4.32,15.32,80.6,4.7
Chapais,20,CA,1587421452,32,49.78,-74.85,26.6,10.29
Halifax,90,CA,1587421234,45,44.65,-63.57,46.99,12.75
Rabo de Peixe,20,PT,1587421452,67,37.8,-25.58,59.0,5.82
Campbell River,75,CA,1587421452,62,50.02,-125.24,57.2,9.17
Nagato,75,JP,1587421452,62,34.38,131.2,59.0,11.41
Martinho Campos,25,BR,1587421452,73,-19.33,-45.24,68.45,2.28
Bima,55,ID,1587421452,85,-8.47,118.72,76.89,3.98
Sola,20,VU,1587421452,94,-13.88,167.55,82.4,2.15
Puerto del Rosario,1,ES,1587421410,72,28.5,-13.86,68.0,10.29
